corpus_size,model,build_seconds,index_bytes,n_docs,R@5,MRR,lat_ms_avg,lat_ms_p95
10000,bm25,0.32,1356656,10000,0.01111111111111111,0.016666666666666666,6.638893166867395,7.856651896145191
10000,dense,0.06,15360000,10000,0.027777777777777776,0.1,901.069790229667,151.21916216448827
50000,bm25,3.56,6850576,50000,0.08777777777777777,0.19555555555555554,88.81637496718515,236.68389393133106
50000,dense,6.21,76800000,50000,0.19166666666666668,0.525,214.54515704341853,304.3240231199876
100000,bm25,2.75,13726480,100000,0.10444444444444442,0.2594444444444444,51.94743740139529,73.65566073276568
100000,dense,0.49,153600000,100000,0.315,0.7111111111111111,89.15164306527004,178.60072470793932
201741,bm25,42.79,27735600,201741,0.2033333333333333,0.43333333333333335,304.7485292656347,559.4488377799275
201741,dense,3.23,309874176,201741,0.576111111111111,0.85,544.356722231411,1622.0456335722665
